진료년도,주상병코드,성별,환자수(명),청구건수(건),요양급여비용(원),보험자부담금(원)
2013,A00,남,27 ,36 ,1750670 ,1178350 
2013,A00,여,50 ,57 ,4761290 ,3281100 
2013,A01,남,218 ,399 ,192844150 ,144133940 
2013,A01,여,208 ,315 ,171129920 ,128501990 
2013,A02,남,3209 ,5051 ,524943650 ,398108150 
2013,A02,여,3794 ,6511 ,521266710 ,395338730 
2013,A03,남,336 ,524 ,85799290 ,65326380 
2013,A03,여,396 ,624 ,121419480 ,92363680 
2013,A04,남,237500 ,331688 ,9892261930 ,7340540320 
2013,A04,여,267665 ,383754 ,12874832380 ,9593376350 
2013,A05,남,26146 ,34115 ,853783900 ,626838450 
2013,A05,여,30361 ,40242 ,1017859210 ,748253200 
2013,A06,남,2164 ,3407 ,327130060 ,243664370 
2013,A06,여,2211 ,3324 ,265110010 ,196027600 
2013,A07,남,494 ,653 ,34294920 ,27487660 
2013,A07,여,537 ,692 ,21323130 ,15550890 
2013,A08,남,265817 ,390965 ,12313209810 ,9515337140 
2013,A08,여,275862 ,396881 ,12366789280 ,9433318410 
2013,A09,남,1900577 ,3093292 ,122227741940 ,86048181620 
2013,A09,여,2100641 ,3353189 ,150768139620 ,105230691650 
2013,A15,남,25481 ,143128 ,30969462510 ,26639047700 
2013,A15,여,16692 ,93084 ,18454617590 ,15825408330 
2013,A16,남,25783 ,116002 ,21361327580 ,18284708790 
2013,A16,여,17581 ,78260 ,13432061220 ,11443532210 
2013,A17,남,542 ,3723 ,2240108890 ,1912171010 
2013,A17,여,424 ,2591 ,1841768140 ,1574301720 
2013,A18,남,4744 ,27199 ,4924504090 ,4226596170 
2013,A18,여,7543 ,44655 ,7291214770 ,6245316560 
2013,A19,남,450 ,2328 ,1074826760 ,943117380 
2013,A19,여,495 ,2457 ,1662407190 ,1442559780 
2013,A20,남,12 ,17 ,1055550 ,728890 
2013,A20,여,5 ,8 ,433620 ,227120 
2013,A21,남,3 ,3 ,188640 ,101140 
2013,A21,여,2 ,2 ,112360 ,32660 
2013,A22,남,3 ,15 ,245800 ,130000 
2013,A22,여,2 ,2 ,112170 ,29870 
2013,A23,남,15 ,40 ,17831370 ,13573440 
2013,A23,여,2 ,3 ,1853960 ,1403020 
2013,A24,남,10 ,15 ,1347270 ,889090 
2013,A24,여,18 ,24 ,1761210 ,1161080 
2013,A25,남,28 ,45 ,5696900 ,4209790 
2013,A25,여,37 ,53 ,5484690 ,3827560 
2013,A26,남,199 ,338 ,9055410 ,6373650 
2013,A26,여,205 ,402 ,16558020 ,11363220 
2013,A27,남,58 ,115 ,36962580 ,27637680 
2013,A27,여,31 ,39 ,27789590 ,21268500 
2013,A28,남,88 ,132 ,24254420 ,18398440 
2013,A28,여,98 ,129 ,6929240 ,4600390 
2013,A30,남,109 ,308 ,13553900 ,8987590 
2013,A30,여,69 ,130 ,16347090 ,11770040 
2013,A31,남,4023 ,21180 ,2580274910 ,1651776380 
2013,A31,여,6095 ,32426 ,3489464080 ,2119019490 
2013,A32,남,8 ,57 ,64677270 ,55871860 
2013,A32,여,17 ,41 ,36854590 ,28054870 
2013,A33,남,1 ,1 ,853700 ,841350 
2013,A33,여,1 ,1 ,35730 ,30730 
2013,A34,여,2 ,2 ,46980 ,32980 
2013,A35,남,310 ,456 ,381908870 ,304667590 
2013,A35,여,247 ,334 ,300013620 ,233320270 
2013,A36,남,5 ,7 ,396540 ,298120 
2013,A36,여,3 ,5 ,232900 ,92700 
2013,A37,남,62 ,115 ,22627780 ,19419150 
2013,A37,여,91 ,155 ,14926580 ,12107580 
2013,A38,남,7902 ,16048 ,597817960 ,464195280 
2013,A38,여,5964 ,11905 ,449941610 ,347657430 
2013,A39,남,34 ,44 ,8226710 ,6729150 
2013,A39,여,39 ,74 ,147691780 ,126668960 
2013,A40,남,221 ,337 ,397579300 ,319280290 
2013,A40,여,247 ,392 ,466438310 ,379446820 
2013,A41,남,17179 ,28340 ,46269564550 ,37361716190 
2013,A41,여,18344 ,30943 ,44834605180 ,35802654100 
2013,A42,남,574 ,1642 ,307841880 ,212624520 
2013,A42,여,1337 ,3075 ,425137410 ,294479510 
2013,A43,남,16 ,47 ,29641110 ,21626100 
2013,A43,여,9 ,16 ,3425170 ,2371230 
2013,A44,남,4 ,4 ,123090 ,89990 
2013,A44,여,10 ,11 ,707630 ,456770 
2013,A46,남,1311 ,3041 ,162909350 ,110817660 
2013,A46,여,1752 ,4368 ,236815970 ,159618820 
2013,A48,남,449 ,820 ,277301370 ,221149020 
2013,A48,여,7527 ,13889 ,497556440 ,362582110 
2013,A49,남,25337 ,54044 ,2888496260 ,2254071300 
2013,A49,여,45111 ,92877 ,3582621460 ,2685294680 
2013,A50,남,186 ,364 ,130306150 ,125059130 
2013,A50,여,176 ,348 ,100822350 ,94729390 
2013,A51,남,3427 ,7711 ,318098650 ,200263990 
2013,A51,여,2652 ,6309 ,213880680 ,127910090 
2013,A52,남,1187 ,3217 ,349345510 ,253606080 
2013,A52,여,1083 ,2850 ,197525150 ,133016770 
2013,A53,남,6646 ,16520 ,433065320 ,233297490 
2013,A53,여,6055 ,15195 ,372504600 ,189302630 
2013,A54,남,11330 ,27179 ,458461120 ,314839950 
2013,A54,여,2825 ,5455 ,313684140 ,212421290 
2013,A55,남,71 ,144 ,6495450 ,3711200 
2013,A55,여,110 ,184 ,6723760 ,4416130 
2013,A56,남,6586 ,14815 ,224051690 ,153471820 
2013,A56,여,18155 ,31757 ,645433420 ,430265830 
2013,A57,남,386 ,945 ,16244030 ,10441630 
2013,A57,여,135 ,254 ,8713130 ,5750610 
2013,A58,남,77 ,167 ,12712260 ,8458990 
2013,A58,여,58 ,145 ,7276530 ,4635650 
2013,A59,남,4432 ,5450 ,70268220 ,48502740 
2013,A59,여,151238 ,290035 ,4448368470 ,3054793450 
2013,A60,남,36233 ,73257 ,1031418110 ,728167270 
