진료년도,암상병코드,환자수(명),청구건수(건),요양급여비용(원)
2013,C00,324 ,1562 ,461272590 
2013,C01,679 ,6322 ,2617671820 
2013,C02,2561 ,26425 ,10823034250 
2013,C03,663 ,5818 ,2245432280 
2013,C04,391 ,3360 ,1351679880 
2013,C05,632 ,5464 ,1943503810 
2013,C06,1381 ,13382 ,5189663750 
2013,C07,1506 ,14898 ,4849883840 
2013,C08,1184 ,11436 ,3457727990 
2013,C09,2066 ,28801 ,10145066030 
2013,C10,720 ,6712 ,2528447120 
2013,C11,2649 ,38199 ,13054416240 
2013,C12,416 ,4732 ,2009677770 
2013,C13,1353 ,18150 ,8915786720 
2013,C14,272 ,1741 ,730339560 
2013,C15,8048 ,104780 ,52402609420 
2013,C16,144847 ,1021495 ,387405538760 
2013,C17,2524 ,19516 ,9744434820 
2013,C18,76435 ,599148 ,259292465200 
2013,C19,13457 ,98440 ,45255621110 
2013,C20,50143 ,482390 ,169275792700 
2013,C21,1888 ,15053 ,4523813660 
2013,C22,61466 ,647670 ,402645693340 
2013,C23,6523 ,58179 ,33622315640 
2013,C24,10687 ,96201 ,60714560100 
2013,C25,12455 ,164401 ,94087591550 
2013,C26,1052 ,5215 ,1763552660 
2013,C30,895 ,9328 ,2863530070 
2013,C31,918 ,11583 ,4319423810 
2013,C32,7017 ,73459 ,22571718610 
2013,C33,288 ,1591 ,526236180 
2013,C34,65453 ,816237 ,426836614530 
2013,C38,864 ,5987 ,3352005730 
2013,C39,199 ,645 ,172567890 
2013,C40,1900 ,16486 ,9205847630 
2013,C41,2701 ,21521 ,10873494770 
2013,C43,2919 ,30056 ,10178027650 
2013,C44,10141 ,58473 ,12628011730 
2013,C45,304 ,3983 ,3308484360 
2013,C46,301 ,2379 ,700944720 
2013,C47,456 ,4062 ,1767089670 
2013,C48,1814 ,15687 ,9139152820 
2013,C49,5476 ,57764 ,21973751520 
2013,C50,122582 ,1617797 ,450778209670 
2013,C51,486 ,4345 ,1294181170 
2013,C52,336 ,3454 ,973785040 
2013,C53,26811 ,241664 ,71423564280 
2013,C54,11513 ,91390 ,27460772190 
2013,C55,1211 ,7872 ,2866686970 
2013,C56,14286 ,146873 ,71879172200 
2013,C57,872 ,5535 ,2249784320 
2013,C60,235 ,1654 ,593680080 
2013,C61,53149 ,442646 ,112437038320 
2013,C62,1631 ,10083 ,2604548240 
2013,C63,182 ,866 ,237147150 
2013,C64,20960 ,122030 ,45096506310 
2013,C65,2334 ,16683 ,6523851900 
2013,C66,2404 ,19825 ,8013422750 
2013,C67,25457 ,203285 ,56238518920 
2013,C68,311 ,1677 ,642984040 
2013,C69,1230 ,11278 ,2564778480 
2013,C70,646 ,4337 ,2412385300 
2013,C71,10002 ,115093 ,68633765390 
2013,C73,280424 ,1493530 ,244839675800 
2013,C74,1106 ,14760 ,6932002120 
2013,C75,848 ,5148 ,2138027350 
2013,C76,1422 ,9232 ,3325169180 
2013,C77,4359 ,20392 ,6729503050 
2013,C78,11634 ,45872 ,30579453840 
2013,C79,11768 ,60994 ,42076914610 
2013,C80,3891 ,21051 ,9653861440 
2013,C81,1825 ,18534 ,8014764970 
2013,C82,1213 ,11038 ,6641261040 
2013,C83,9121 ,93813 ,79887673910 
2013,C84,1687 ,24574 ,13176052140 
2013,C85,9831 ,71890 ,34340046740 
2013,C88,2512 ,18317 ,5001155800 
2013,C90,5006 ,91453 ,72455672680 
