발생연도,성,국제질병분류코드,암종,연령군,발생자수(명),발생률(명/10만명),연결test
1999,남녀전체,C00-C96,모든암,00-04세,534,16,1999남C00-C9600-04세
1999,남녀전체,C00-C96,모든암,05-09세,297,8.6,1999남C00-C9605-09세
1999,남녀전체,C00-C96,모든암,10-14세,304,9.6,1999남C00-C9610-14세
1999,남녀전체,C00-C96,모든암,15-19세,510,12.7,1999남C00-C9615-19세
1999,남녀전체,C00-C96,모든암,20-24세,705,18,1999남C00-C9620-24세
1999,남녀전체,C00-C96,모든암,25-29세,1515,32.9,1999남C00-C9625-29세
1999,남녀전체,C00-C96,모든암,30-34세,2640,59.8,1999남C00-C9630-34세
1999,남녀전체,C00-C96,모든암,35-39세,4881,109,1999남C00-C9635-39세
1999,남녀전체,C00-C96,모든암,40-44세,6885,178.1,1999남C00-C9640-44세
1999,남녀전체,C00-C96,모든암,45-49세,7429,275,1999남C00-C9645-49세
1999,남녀전체,C00-C96,모든암,50-54세,9206,415,1999남C00-C9650-54세
1999,남녀전체,C00-C96,모든암,55-59세,12697,599.8,1999남C00-C9655-59세
1999,남녀전체,C00-C96,모든암,60-64세,14566,835.4,1999남C00-C9660-64세
1999,남녀전체,C00-C96,모든암,65-69세,13102,1073,1999남C00-C9665-69세
1999,남녀전체,C00-C96,모든암,70-74세,11131,1330.3,1999남C00-C9670-74세
1999,남녀전체,C00-C96,모든암,75-79세,8579,1509.9,1999남C00-C9675-79세
1999,남녀전체,C00-C96,모든암,80-84세,4126,1389.8,1999남C00-C9680-84세
1999,남녀전체,C00-C96,모든암,85세이상,1924,1065.1,1999남C00-C9685세이상
1999,남녀전체,C00-C96,모든암,전체,101032,214.2,1999남C00-C96전체
1999,남녀전체,C00-C14,"입술, 구강 및 인두",00-04세,1,0,1999남C00-C1400-04세
1999,남녀전체,C00-C14,"입술, 구강 및 인두",05-09세,3,0.1,1999남C00-C1405-09세
